iter	Passed	Remaining
0	0	87
1	1	91
2	2	93
3	3	87
4	4	87
5	5	87
6	6	87
7	7	87
8	8	86
9	9	83
10	10	82
11	11	80
12	11	79
13	12	77
14	13	76
15	14	74
16	15	73
17	15	72
18	16	70
19	17	69
20	18	67
21	18	66
22	19	65
23	20	63
24	20	62
25	21	60
26	21	59
27	22	58
28	23	57
29	24	56
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	38	34
53	39	33
54	40	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	48	22
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
