iter	Passed	Remaining
0	139	139732
1	140	70162
2	141	46937
3	141	35336
4	142	28401
5	143	23734
6	143	20409
7	144	17948
8	145	16022
9	146	14497
10	147	13226
11	147	12164
12	148	11265
13	149	10509
14	149	9841
15	150	9260
16	151	8737
17	151	8279
18	152	7865
19	153	7501
20	153	7170
21	154	6862
22	155	6589
23	155	6331
24	156	6099
25	156	5879
26	157	5679
27	158	5494
28	159	5326
29	159	5163
30	160	5014
31	161	4871
32	161	4738
33	162	4612
34	163	4500
35	163	4385
36	164	4280
37	164	4177
38	165	4078
39	166	3989
40	166	3901
41	167	3818
42	167	3738
43	168	3661
44	169	3588
45	169	3518
46	170	3450
47	170	3388
48	171	3329
49	172	3272
50	172	3216
51	173	3161
52	173	3107
53	174	3055
54	175	3007
55	175	2960
56	176	2915
57	176	2870
58	177	2830
59	178	2788
60	178	2748
61	179	2708
62	179	2672
63	180	2636
64	180	2600
65	181	2566
66	181	2532
67	182	2501
68	183	2471
69	183	2444
70	184	2415
71	185	2386
72	185	2357
73	186	2329
74	186	2303
75	187	2283
76	188	2258
77	189	2236
78	190	2215
79	190	2192
80	191	2169
81	191	2147
82	192	2122
83	192	2101
84	193	2079
85	193	2060
86	194	2040
87	195	2022
88	195	2003
89	196	1983
90	196	1967
91	197	1949
92	198	1932
93	198	1917
94	199	1901
95	200	1885
96	200	1870
97	201	1853
98	202	1839
99	202	1825
100	203	1812
101	204	1797
102	204	1784
103	205	1769
104	206	1756
105	206	1743
106	207	1731
107	208	1718
108	209	1708
109	209	1696
110	210	1683
111	210	1671
112	211	1660
113	212	1647
114	212	1636
115	213	1624
116	213	1612
117	214	1601
118	214	1591
119	215	1580
120	216	1569
121	216	1558
122	217	1549
123	217	1539
124	218	1530
125	219	1520
126	219	1510
127	220	1501
128	220	1491
129	221	1482
130	222	1474
131	222	1465
132	223	1456
133	224	1447
134	224	1438
135	225	1430
136	225	1422
137	226	1413
138	226	1405
139	227	1397
140	228	1391
141	228	1382
142	229	1375
143	230	1368
144	231	1362
145	231	1355
146	232	1348
147	233	1341
148	233	1335
149	234	1328
150	234	1321
151	235	1314
152	236	1307
153	236	1299
154	237	1293
155	237	1286
156	238	1279
157	238	1272
158	239	1266
159	239	1259
160	240	1252
161	240	1246
162	241	1239
163	242	1234
164	242	1228
165	243	1222
166	243	1215
167	244	1209
168	244	1203
169	245	1198
170	246	1192
